id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
197677,https://www.airbnb.com/rooms/197677,20250323161203,2025-03-24,city scrape,Oshiage Holiday Apartment,,,https://a0.muscache.com/pictures/38437056/d27fa43f_original.jpg,964081,https://www.airbnb.com/users/show/964081,Yoshimi & Marek,2011-08-13,"Tokyo, Japan",Would love to travel all over the world and meet and feel the different people and cultures.,within a day,1.0,0.92,t,https://a0.muscache.com/im/users/964081/profile_pic/1319512318/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/964081/profile_pic/1319512318/original.jpg?aki_policy=profile_x_medium,Sumida District,1,2,"['email', 'phone']",t,t,,Sumida Ku,,35.71707,139.82608,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Dryer"", ""TV"", ""Hangers"", ""Heating"", ""Microwave"", ""Air conditioning"", ""Self check-in"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Shampoo"", ""Refrigerator"", ""Kitchen"", ""Lockbox"", ""Iron"", ""Hot water"", ""Free washer \u2013 In unit"", ""Essentials"", ""Dishes and silverware"", ""Wifi""]",10400.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,10,23,37,147,2025-03-24,183,8,0,72,9,48,499200.0,2011-09-21,2024-12-12,4.78,4.75,4.91,4.85,4.84,4.56,4.8,M130003350,f,1,1,0,0,1.11
1249571,https://www.airbnb.com/rooms/1249571,20250323161203,2025-03-24,city scrape,Unique stay! New&1min to the subway,,,https://a0.muscache.com/pictures/d37dbd4c-dcb6-4f07-8869-67c0d865367f.jpg,6809418,https://www.airbnb.com/users/show/6809418,Yume,2013-06-09,"Tokyo, Japan","Hi!  I'm Yume originally from Japan.

I would love to share my cozy house in Hiroo where located in the amazing neighborhood. 

This place is build in 2012 by a local architect Motoji Funatsu.  (famous for designing tiny houses)
I would love you to feel all the natural lights and beautiful concrete house.

I would love to help you to make your dream travels come true.
(Nothing is impossible!)
Please let me know anything you would love to do in Japan.

Lifeâ€™s work /  airbnb since 2013!  
radio host (travel channel and shopping street's PR channnel),  corporation aggregate of short term rental,  
Hiroo shopping street ASSOC. (PR)

Love / cats&dogs, travel (been to 30 countries) , glamping, disney land and sea, anime, art, fashion.
",within a day,1.0,0.89,t,https://a0.muscache.com/im/pictures/user/8aa2c8ac-be9e-41c8-b793-2c0da070d152.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8aa2c8ac-be9e-41c8-b793-2c0da070d152.jpg?aki_policy=profile_x_medium,Shibuya District,1,2,"['email', 'phone']",t,t,,Shibuya Ku,,35.65111,139.72165,Entire home,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Cooking basics"", ""Bed linens"", ""Dishwasher"", ""Ceiling fan"", ""Luggage dropoff allowed"", ""Hangers"", ""Long term stays allowed"", ""Induction stove"", ""Laundromat nearby"", ""Freezer"", ""Rice maker"", ""Dining table"", ""Bidet"", ""Wine glasses"", ""Bose sound bar Bluetooth sound system"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Coffee maker: french press, pour-over coffee"", ""Shampoo"", ""Private entrance"", ""Extra pillows and blankets"", ""Host greets you"", ""Refrigerator"", ""HDTV with Netflix, Apple TV, Disney+, DVD player"", ""Portable air conditioning"", ""Bathtub"", ""Body soap"", ""Clothing storage: closet"", ""Dedicated workspace"", ""Kitchen"", ""Shower gel"", ""Iron"", ""Hot water"", ""Hot water kettle"", ""Portable heater"", ""Free washer \u2013 In unit"", ""Essentials"", ""Dishes and silverware"", ""First aid kit"", ""Fast wifi \u2013 74 Mbps"", ""Books and reading material"", ""Microwave"", ""Conditioner"", ""Cleaning products""]",56751.0,8,365,8.0,8.0,365.0,365.0,8.0,365.0,,t,3,3,3,90,2025-03-24,143,15,0,90,22,240,13620240.0,2013-09-18,2024-12-21,4.96,4.96,4.97,4.96,4.92,4.98,4.89,M130000957,f,1,1,0,0,1.02
3689244,https://www.airbnb.com/rooms/3689244,20250323161203,2025-03-24,city scrape,"Shiya-ku, near by Shinjuku 2DK / MDS2BR",,"Yoyogi Uehara is one of the most fashionable areas in Tokyo with delicious cafes and bistros.There is also a history as a high-end residential area, and it is a regular of the town ranking that I always want to live in.A 5-minute walk from Yoyogi-Uehara Station on the Chiyoda Subway Line and Yoyogi-Uehara Station on the Odakyu Line.",https://a0.muscache.com/pictures/46442780/aa38108f_original.jpg,18776800,https://www.airbnb.com/users/show/18776800,è¿‘è—¤,2014-07-24,"Tokyo, Japan","We have been renting out our apartments to travelers since 2006.  Many travelers from all over the world have chosen our apartments, and many of them became repeaters. 
We proudly provide quality rooms in prime locations. We are confident that your choice will meet more than your expectations. 
We are always pleased to serve you throughout the booking process and during your stay.
We are really looking forward to seeing you in TOKYO!!",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_x_medium,Shibuya District,20,21,"['email', 'phone']",t,t,"Shibuya-ku, Tokyo Prefecture, Japan",Shibuya Ku,,35.67205,139.67877,Entire rental unit,Entire home/apt,7,1.0,1 bath,2.0,4.0,"[""Smoke alarm"", ""Bed linens"", ""TV"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Microwave"", ""Air conditioning"", ""Hair dryer"", ""Shampoo"", ""Private entrance"", ""Refrigerator"", ""Bathtub"", ""Body soap"", ""Kitchen"", ""Stove"", ""Washer"", ""Hot water"", ""Essentials"", ""Coffee maker"", ""Dishes and silverware"", ""Wifi"", ""Conditioner""]",30600.0,3,180,3.0,3.0,180.0,180.0,3.0,180.0,,t,0,3,26,186,2025-03-24,54,17,2,186,15,102,3121200.0,2014-11-12,2025-03-05,4.76,4.81,4.61,4.91,4.89,4.78,4.67,M130003456,f,20,20,0,0,0.43
1394409,https://www.airbnb.com/rooms/1394409,20250323161203,2025-03-24,city scrape,Room in Mejiro/Ikebukuro (2of2) for 1 person,"Â· 7-min walk from Mejiro Station on JR Yamanote line<br />Â· 15-min walk to Ikebukuro, a hub city in Tokyo <br />Â· Quiet and comfortable residential area with supermarkets, restaurants etc. <br />Â· This room suits 1 person<br />Â· Non-smokers only please","Â· An ideal neighborhood coveted even by locals! A quiet residential area nestled in the heart of Tokyo with quick and easy access to the JR Yamanote Line and major metropolitan centers and attractions. Perfect for travelers who want to immerse themselves in the chaos of the city by day and come home to a quiet home at night for rest.<br />Â· Plenty of cute side streets, parks, shops etc. to explore in the immediate area, if you don't feel like venturing too far. Guests often tell me about a restaurant or pub they've discovered close to the house that I didn't even know was there!<br />Â· Shinjuku, the biggest city in the Tokyo area, is 3 stops away on the Yamanote Line; Ikebukuro, another large, bustling city, is a short walk (10-15 mins) from the house.<br />Â· From Mejiro Station to my house is about a 7-minute walk. When you book your room, I will provide detailed instructions for getting to the house, both from Mejiro Station and from Haneda and Narita Airports. The instructions are c",https://a0.muscache.com/pictures/hosting/Hosting-1394409/original/1aea1385-56aa-4195-9d86-c9b6cf26879e.jpeg,7537357,https://www.airbnb.com/users/show/7537357,Yayoi,2013-07-17,"Toshima City, Japan","Hello, travelers!_x000D_
_x000D_
I am a fun, easy-going Tokyo native who enjoys meeting people from all over the world and hearing about their lives, cultures, and experiences. My interests include languages, culture, literature, economics, exercise, cooking, and traveling. I have lived in Mejiro most of my life, so youâ€™ll be staying with a true local._x000D_
Iâ€™m often outside the house for work or visiting friends and family, but whenever Iâ€™m home I look forward to hanging out and enjoying good conversation with my guests. Iâ€™ve met so many interesting people since I start hosting!

I have two daughters named Yuna (born in 2016) and Yuki (2019).

Any guests who donâ€™t mind kids around are welcome!

I have three rooms available through Airbnb, so please check for all my listings if the first one you see doesnâ€™t suit your schedule._x000D_
We hope you have a wonderful time in Japan!",within a day,0.8,0.87,f,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_x_medium,Toshima District,2,4,"['email', 'phone']",t,t,"Toshima, Tokyo Prefecture, Japan",Toshima Ku,,35.72415,139.70151,Private room in home,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Hangers"", ""Heating"", ""Air conditioning"", ""Self check-in"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Shampoo"", ""Private entrance"", ""Keypad"", ""Bathtub"", ""Dedicated workspace"", ""Clothing storage"", ""Kitchen"", ""Washer"", ""Hot water"", ""Essentials"", ""Paid parking off premises"", ""Wifi""]",6000.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,6,6,6,235,2025-03-24,236,10,0,153,10,60,360000.0,2013-09-11,2024-11-22,4.71,4.79,4.64,4.86,4.89,4.76,4.75,M130000166,f,2,0,2,0,1.68
1394737,https://www.airbnb.com/rooms/1394737,20250323161203,2025-03-24,city scrape,Room in Mejiro/Ikebukuro (1of2) for 1 person,"Â· 7-min walk from Mejiro Station on JR Yamanote line<br />Â· 15-min walk to Ikebukuro, a hub city in Tokyo <br />Â· Quiet and comfortable residential area with supermarkets, restaurants etc. <br />Â· This room suits 1  person","Â· An ideal neighborhood coveted even by locals! A quiet residential area nestled in the heart of Tokyo with quick and easy access to the JR Yamanote Line and major metropolitan centers and attractions. Perfect for travelers who want to immerse themselves in the chaos of the city by day and come home to a quiet home at night for rest.<br />Â· Plenty of cute side streets, parks, shops etc. to explore in the immediate area, if you don't feel like venturing too far. Guests often tell me about a restaurant or pub they've discovered close to the house that I didn't even know was there!<br />Â· Shinjuku, the biggest city in the Tokyo area, is 3 stops away on the Yamanote Line; Ikebukuro, another large, bustling city, is a short walk (10-15 mins) from the house.<br />Â· From Mejiro Station to my house is about a 7-minute walk. When you book your room, I will provide detailed instructions for getting to the house, both from Mejiro Station and from Haneda and Narita Airports. The instructions are c",https://a0.muscache.com/pictures/hosting/Hosting-1394737/original/4353116e-b277-429e-aa92-4b1e69b1b4bd.jpeg,7537357,https://www.airbnb.com/users/show/7537357,Yayoi,2013-07-17,"Toshima City, Japan","Hello, travelers!_x000D_
_x000D_
I am a fun, easy-going Tokyo native who enjoys meeting people from all over the world and hearing about their lives, cultures, and experiences. My interests include languages, culture, literature, economics, exercise, cooking, and traveling. I have lived in Mejiro most of my life, so youâ€™ll be staying with a true local._x000D_
Iâ€™m often outside the house for work or visiting friends and family, but whenever Iâ€™m home I look forward to hanging out and enjoying good conversation with my guests. Iâ€™ve met so many interesting people since I start hosting!

I have two daughters named Yuna (born in 2016) and Yuki (2019).

Any guests who donâ€™t mind kids around are welcome!

I have three rooms available through Airbnb, so please check for all my listings if the first one you see doesnâ€™t suit your schedule._x000D_
We hope you have a wonderful time in Japan!",within a day,0.8,0.87,f,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_x_medium,Toshima District,2,4,"['email', 'phone']",t,t,"Toshima, Tokyo Prefecture, Japan",Toshima Ku,,35.7241,139.70343,Private room in home,Private room,1,2.0,2 shared baths,2.0,2.0,"[""Smoke alarm"", ""Dryer"", ""Hangers"", ""Heating"", ""Air conditioning"", ""Self check-in"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Shampoo"", ""Private entrance"", ""Keypad"", ""Bathtub"", ""Shared hot tub"", ""Kitchen"", ""Washer"", ""Hot water"", ""Essentials"", ""Paid parking off premises"", ""Wifi""]",5500.0,7,100,7.0,9.0,100.0,100.0,7.0,100.0,,t,6,12,25,227,2025-03-24,241,21,0,154,20,255,1402500.0,2013-08-15,2025-01-04,4.68,4.76,4.57,4.86,4.89,4.74,4.7,M130000166,f,2,0,2,0,1.71
3871442,https://www.airbnb.com/rooms/3871442,20250323161203,2025-03-23,city scrape,Nishi-Ogikubo 1BR Roomy  2F,,"There is a 24-hour supermarket on the way to the apartment, which is very convenient.There is a pharmacy as well as fresh food, so you can buy the daily necessities you need during your stay.Nishiogikubo is also known as a ramen battleground, so there are many delicious ramen shops.<br />There is also a coin laundry next to the apartment.<br />Kichijoji Station is one stop away.",https://a0.muscache.com/pictures/miso/Hosting-3871442/original/f5f2c47e-6760-4411-a7e2-815c823b928c.jpeg,18776800,https://www.airbnb.com/users/show/18776800,è¿‘è—¤,2014-07-24,"Tokyo, Japan","We have been renting out our apartments to travelers since 2006.  Many travelers from all over the world have chosen our apartments, and many of them became repeaters. 
We proudly provide quality rooms in prime locations. We are confident that your choice will meet more than your expectations. 
We are always pleased to serve you throughout the booking process and during your stay.
We are really looking forward to seeing you in TOKYO!!",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_x_medium,Shibuya District,20,21,"['email', 'phone']",t,t,"Suginami-ku, TÅkyÅ-to, Japan",Suginami Ku,,35.70399,139.59775,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""LUX shampoo"", ""Bed linens"", ""Hangers"", ""LUX conditioner"", ""Heating"", ""Toaster"", ""Long term stays allowed"", ""Microwave"", ""Freezer"", ""Dining table"", ""Air conditioning"", ""31 inch TV"", ""Fire extinguisher"", ""Hair dryer"", ""Gas stove"", ""Private entrance"", ""Refrigerator"", ""Bathtub"", ""Body soap"", ""Kitchen"", ""Elevator"", ""Hot water"", ""Hot water kettle"", ""Free washer \u2013 In unit"", ""Essentials"", ""Dishes and silverware"", ""Wifi""]",18000.0,3,90,2.0,3.0,90.0,90.0,3.0,90.0,,t,0,3,8,202,2025-03-23,36,0,0,202,0,0,0.0,2014-11-14,2020-02-02,4.86,4.86,4.83,4.89,4.89,4.71,4.63,M130002734,f,20,20,0,0,0.29
4388283,https://www.airbnb.com/rooms/4388283,20250323161203,2025-03-23,city scrape,Sunny room in residential area in å›½åˆ†å¯º 1st Floor,"ã€JAPANESE SPEAKER PREFERREDã€‘<br />It's a Japanese-style private room with Tatami flooring (ç•³) and Futons (å¸ƒå›£), therefore you can enjoy your stay in real Japanese style!!!<br /><br />The other residents in this house are Japanese and only speak JAPANESE,  guests learning Japanese or persons already able to speak Japanese are preferred. <br /><br />Even if you can't speak in Japanese at all, as long as you try to communicate with the other residents and respect Japanese culture and habits, it is no problem! Welcome!!! ^^","Located in a safe suburban neighborhood in the peacful and charming city of Kokubunji. Everything you need in walking distance! If you would prefer to take the bus (ãƒ–ãƒ³ãƒã‚¹), the stop is only a 1 minute walk from the house and will take you all the way to the station for only Â¥100!",https://a0.muscache.com/pictures/d6b482ee-c92a-4283-aee6-ca22339fe69a.jpg,10969488,https://www.airbnb.com/users/show/10969488,Como,2014-01-02,Japan,"Hello, Everyone!!
I am Como House which was built in Kokubunji in 1970's.
I am managed by Como family as a shared house since 2012. 

I have several  individual rooms, dining room & kitchen and family-type bathroom.
Here is located in a suburb and a little far from the center of Tokyo, but I can offer typical daily life in Japan and I hope you enjoy it!!
We're looking forward to meeting you ^^",within a day,0.9,0.75,t,https://a0.muscache.com/im/pictures/user/3909041a-266a-4863-b547-ee98ab145617.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3909041a-266a-4863-b547-ee98ab145617.jpg?aki_policy=profile_x_medium,,4,13,"['email', 'phone']",t,t,"å›½åˆ†å¯ºå¸‚, Tokyo, Japan",Kokubunji Shi,,35.70919,139.48074,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,"[""Smoke alarm"", ""Cooking basics"", ""Bed linens"", ""Backyard"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Courtyard view"", ""Exterior or entryway security camera present"", ""Microwave"", ""Air conditioning"", ""Self check-in"", ""Indoor fireplace"", ""Patio or balcony"", ""Hair dryer"", ""Shampoo"", ""High chair"", ""Extra pillows and blankets"", ""Refrigerator"", ""Keypad"", ""Dedicated workspace"", ""Kitchen"", ""Stove"", ""Washer"", ""Lock on bedroom door"", ""Iron"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""First aid kit"", ""Children\u2019s books and toys"", ""Wifi""]",4833.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,243,2025-03-23,67,0,0,162,0,0,0.0,2015-01-03,2023-08-31,4.88,4.83,4.7,4.91,4.89,4.45,4.82,M130002755,f,4,0,4,0,0.54
4396219,https://www.airbnb.com/rooms/4396219,20250323161203,2025-03-23,city scrape,Nishi-Ogikubo 1BR Twin Type-B 2F,"Our latest 1 bedroom with two beds is fully furnished with brand-new furniture, clean and well equipped with modern amenities. This 35-square-meter apartment features a full kitchen and a bathroom with bathtub. (max. accommodation 4 persons)","Nishi-Ogikubo is a quiet, safe, and peaceful neighborhood where you almost forget you are only a few minutes away from the hustle and bustle of the big city of Tokyo. The town is well-known for its numerous antique shops, unique cafes, and secondhand book stores, providing entertainment for all generations. There are also some parks around the neighborhood such as Zenpukuji Park and Inokashira Park. They are both famous for cherry blossom viewing and their autumn leaves. Also, just a 10-minute walk from the station there is a shrine that is believed to be a spiritual place where you can gain benefits from a mystical force.",https://a0.muscache.com/pictures/miso/Hosting-4396219/original/6158d574-10f6-492f-95d5-15c22317fe72.jpeg,18776800,https://www.airbnb.com/users/show/18776800,è¿‘è—¤,2014-07-24,"Tokyo, Japan","We have been renting out our apartments to travelers since 2006.  Many travelers from all over the world have chosen our apartments, and many of them became repeaters. 
We proudly provide quality rooms in prime locations. We are confident that your choice will meet more than your expectations. 
We are always pleased to serve you throughout the booking process and during your stay.
We are really looking forward to seeing you in TOKYO!!",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_x_medium,Shibuya District,20,21,"['email', 'phone']",t,t,"Suginami-ku, TÅkyÅ-to, Japan",Suginami Ku,,35.70399,139.59775,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Clothing storage: dresser"", ""Bed linens"", ""TV"", ""Hangers"", ""Heating"", ""Toaster"", ""\u30d3\u30aa\u30ec\u3001\u30c0\u30f4\u7b49\u3000\u203b\u5909\u66f4\u306b\u306a\u308b\u5834\u5408\u3082\u3042\u308a body soap"", ""LUX\u7b49\u3000\u203b\u5909\u66f4\u306b\u306a\u308b\u5834\u5408\u3082\u3042\u308a conditioner"", ""Microwave"", ""Freezer"", ""Rice maker"", ""Bidet"", ""Dining table"", ""Air conditioning"", ""Fire extinguisher"", ""Hair dryer"", ""Private entrance"", ""Refrigerator"", ""Bathtub"", ""Kitchen"", ""Stove"", ""Washer"", ""Elevator"", ""Hot water"", ""Hot water kettle"", ""LUX\u7b49\u3000\u203b\u5909\u66f4\u306b\u306a\u308b\u5834\u5408\u3082\u3042\u308a shampoo"", ""Essentials"", ""Dishes and silverware"", ""Wifi""]",17550.0,3,90,3.0,3.0,90.0,90.0,3.0,90.0,,t,0,3,12,193,2025-03-23,62,11,0,193,11,66,1158300.0,2014-11-25,2025-02-11,4.84,4.9,4.89,4.9,4.85,4.94,4.71,M130002742,f,20,20,0,0,0.49
4396221,https://www.airbnb.com/rooms/4396221,20250323161203,2025-03-23,city scrape,nishi-ogikubo 1BED Roomy 5F,"This roomy 1 Bedroom comes with a separate living room. This unit is on the upper floor, allowing the sunshine to come in through the windows in the living room.<br />It is a 3 minute walk to Nishi-Ogikubo station.","Nishi-Ogikubo is a quiet, safe, and peaceful neighborhood where you almost forget you are only a few minutes away from the hustle and bustle of the big city of Tokyo. The town is well-known for its numerous antique shops, unique cafes, and secondhand book stores, providing entertainment for all generations. There are also some parks around the neighborhood such as Zenpukuji Park and Inokashira Park. They are both famous for cherry blossom viewing and their autumn leaves. Also, just a 10-minute walk from the station there is a shrine that is believed to be a spiritual place where you can gain benefits from a mystical force.",https://a0.muscache.com/pictures/miso/Hosting-4396221/original/1d68ebf9-d02a-4555-b514-345ac1488ad5.jpeg,18776800,https://www.airbnb.com/users/show/18776800,è¿‘è—¤,2014-07-24,"Tokyo, Japan","We have been renting out our apartments to travelers since 2006.  Many travelers from all over the world have chosen our apartments, and many of them became repeaters. 
We proudly provide quality rooms in prime locations. We are confident that your choice will meet more than your expectations. 
We are always pleased to serve you throughout the booking process and during your stay.
We are really looking forward to seeing you in TOKYO!!",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/396ce181-4ddd-456b-8223-cf5cda12ebef.jpg?aki_policy=profile_x_medium,Shibuya District,20,21,"['email', 'phone']",t,t,"Suginami-ku, Tokyo Prefecture, Japan",Suginami Ku,,35.70399,139.59775,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Bed linens"", ""TV"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Microwave"", ""Air conditioning"", ""Indoor fireplace"", ""Fire extinguisher"", ""Hair dryer"", ""Shampoo"", ""Private entrance"", ""Refrigerator"", ""Stove"", ""Kitchen"", ""Washer"", ""Elevator"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Wifi""]",23500.0,3,90,3.0,3.0,90.0,90.0,3.0,90.0,,t,0,9,14,202,2025-03-23,45,10,0,202,16,60,1410000.0,2015-03-31,2025-01-02,4.78,4.82,4.73,4.93,4.82,4.86,4.68,M130002749,f,20,20,0,0,0.37
2839061,https://www.airbnb.com/rooms/2839061,20250323161203,2025-03-24,previous scrape,"#1 Discover local life, culture & People/Work desk","Hi, this is Toshi, an English speaker. Welcome to this neighborhood and my home. This area, called YaNeSen(Yanaka, Sendagi, Nezu), has preserved the charm as creating a contrast of old and new at the same time. It's because of the tendency to re-purpose older buildings rather than rebuilding. My home is a big house in good condition even located in central Tokyo. I manage this house as enjoying sharing life. In a word, the best place to feel local life in Tokyo.","Super convenient location to get around Tokyo. <br />6 min walk from the nearest subway station. <br />A gate area to central Tokyo from airport. <br /><br />Here is a remaining authentic downtown in Tokyo. A quiet neighborhood with one of the most vivid local market street in Tokyo, beautiful sakura-lined cemetery, plenty of temples, old and new indie cafes, restaurants, shops and stalls, some of which have passed down through generations, and art galleries, etc. All of them are within 1-15 mins walking distance. So now here attracts both Japanese and foreigner visitors so much. Just lovely area.<br /><br />- Local shopping street, Yanaka Ginza (10 mins walk) <br />- Yanaka Cemetery (10 mins walk) <br />- Ueno Park (15 mins walk) <br />- University of Tokyo (15 mins walk)<br />- 24/7 convenience store (5 min walk)<br />- Supermarket (6 min walk) <br />- Drugstores (3 min walk)",https://a0.muscache.com/pictures/56bf01c0-d70a-4f11-af01-5d916bb8b77c.jpg,4839990,https://www.airbnb.com/users/show/4839990,Toshiyuki,2013-01-25,"Bunkyo City, Japan","Hi there.
A serial entrepreneur since late twenties. After got tired of my work life, shifted to live my life, not for work.
- Managing a share/guest house
- Business and team building trainer in internship and self-developing program
- Providing communication training and self-awareness session

Now preparing a vacation rental / my second house in a country seaside area.  
Down shifted with less money, less stress, more time, more happiness.",within a day,1.0,0.93,t,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_x_medium,Bunkyo District,2,5,"['email', 'phone', 'work_email']",t,t,"BunkyÅ-ku, TÅkyÅ-to, Japan",Bunkyo Ku,,35.72035,139.76445,Private room in home,Private room,2,,2 shared baths,,,"[""Portable fans"", ""Smoke alarm"", ""Cooking basics"", ""Dryer"", ""Bed linens"", ""Oven"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Hangers"", ""Heating"", ""Toaster"", ""Long term stays allowed"", ""AC - split type ductless system"", ""Exterior or entryway security camera present"", ""Smart lock"", ""Free washer \u2013 In building"", ""Microwave"", ""Rice maker"", ""Bidet"", ""Dining table"", ""Coffee"", ""Self check-in"", ""Wine glasses"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hair dryer"", ""Shampoo"", ""Extra pillows and blankets"", ""Blender"", ""Refrigerator"", ""Bathtub"", ""Body soap"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Dedicated workspace"", ""Kitchen"", ""Stove"", ""Shared hot tub"", ""Iron"", ""Hot water"", ""Hot water kettle"", ""Essentials"", ""Coffee maker"", ""Dishes and silverware"", ""Wifi"", ""Conditioner"", ""Cleaning products""]",,4,45,4.0,4.0,45.0,45.0,4.0,45.0,,t,0,0,0,0,2025-03-24,129,19,2,0,17,152,,2015-07-01,2025-03-05,4.91,4.93,4.87,4.9,4.98,4.9,4.88,M130016568,f,1,0,1,0,1.09
